# orthogroupId	proteinId
OG0001365	XP_035696244
OG0001365	ENSGALP00010026034
OG0001365	ENSTGUP00000003875
OG0001365	ENSMODP00000020813
OG0001365	ENSCAFP00845039257
OG0001365	ENSP00000482156
OG0001365	ENSP00000262305
OG0001365	ENSMUSP00000113521
OG0001365	ENSACAP00000002607
OG0001365	ENSLOCP00000003849
OG0001365	ENSORLP00000032913
OG0001365	ENSGACP00000011186
OG0001365	ENSTNIP00000015789
OG0001365	ENSDARP00000149009
OG0001365	ENSDARP00000153769
OG0001365	ENSCMIP00000019084
OG0001365	ENSGALP00010044211
OG0001365	ENSMGAP00000008366
OG0001365	ENSTGUP00000026735
OG0001365	ENSACAP00000031113
OG0001365	ENSCAFP00845019848
OG0001365	ENSP00000482620
OG0001365	ENSMUSP00000017783
OG0001365	ENSMODP00000023985
OG0001365	ENSORLP00000004431
OG0001365	ENSGACP00000025702
OG0001365	ENSTNIP00000005818
OG0001365	ENSDARP00000132572
OG0001365	ENSDARP00000147868
OG0001365	ENSDARP00000144782
OG0001365	ENSLOCP00000017027
OG0001365	ENSDARP00000108296
OG0001365	ENSORLP00000021353
OG0001365	ENSTNIP00000016995
OG0001365	ENSGACP00000007047
OG0001365	ENSCMIP00000004232
OG0002192	XP_035694061
OG0002192	ENSGALP00010023058
OG0002192	ENSMGAP00000031635
OG0002192	ENSTGUP00000037636
OG0002192	ENSCAFP00845043431
OG0002192	ENSP00000377890
OG0002192	ENSMUSP00000110564
OG0002192	ENSMODP00000059700
OG0002192	ENSACAP00000030749
OG0002192	ENSORLP00000043039
OG0002192	ENSGACP00000023130
OG0002192	ENSGACP00000023136
OG0002192	ENSTNIP00000018819
OG0002192	ENSLOCP00000018908
OG0002192	ENSDARP00000079099
OG0002192	ENSDARP00000153912
OG0002192	ENSDARP00000155092
OG0002192	ENSCMIP00000008818
OG0002192	ENSGALP00010004726
OG0002192	ENSMGAP00000015884
OG0002192	ENSMGAP00000028091
OG0002192	ENSTGUP00000012724
OG0002192	ENSACAP00000002115
OG0002192	ENSMODP00000018618
OG0002192	ENSCAFP00845013854
OG0002192	ENSP00000509229
OG0002192	ENSMUSP00000154512
OG0002192	ENSLOCP00000006848
OG0002192	ENSDARP00000127845
OG0002192	ENSORLP00000017834
OG0002192	ENSTNIP00000022588
OG0002192	ENSGACP00000000342
OG0002192	ENSCMIP00000012535
OG0001424	XP_035700031
OG0001424	ENSGALP00010016564
OG0001424	ENSMGAP00000028827
OG0001424	ENSMGAP00000007701
OG0001424	ENSTGUP00000024596
OG0001424	ENSMODP00000056502
OG0001424	ENSACAP00000005752
OG0001424	ENSCAFP00845023790
OG0001424	ENSMUSP00000046788
OG0001424	ENSP00000305699
OG0001424	ENSMODP00000012604
OG0001424	ENSLOCP00000003859
OG0001424	ENSORLP00000040660
OG0001424	ENSTNIP00000006090
OG0001424	ENSGACP00000023316
OG0001424	ENSDARP00000152982
OG0001424	ENSCMIP00000038649
OG0001424	ENSGALP00010039746
OG0001424	ENSMGAP00000012130
OG0001424	ENSTGUP00000010021
OG0001424	ENSACAP00000007070
OG0001424	ENSCAFP00845008387
OG0001424	ENSP00000360252
OG0001424	ENSMUSP00000030306
OG0001424	ENSMODP00000058012
OG0001424	ENSORLP00000037944
OG0001424	ENSTNIP00000013793
OG0001424	ENSGACP00000019210
OG0001424	ENSDARP00000063051
OG0001424	ENSLOCP00000010916
OG0001424	ENSCMIP00000047435
OG0001424	ENSCAFP00845022470
OG0001424	ENSP00000380785
OG0001424	ENSMUSP00000067752
OG0001424	ENSMODP00000008628
OG0001424	ENSACAP00000003380
OG0001424	ENSORLP00000019519
OG0001424	ENSGACP00000008802
OG0001424	ENSLOCP00000009632
OG0001424	ENSCMIP00000027755
OG0001293	XP_035692378
OG0001293	ENSGALP00010023299
OG0001293	ENSMGAP00000009956
OG0001293	ENSTGUP00000010912
OG0001293	ENSACAP00000003925
OG0001293	ENSCAFP00845027124
OG0001293	ENSP00000350170
OG0001293	ENSMODP00000026620
OG0001293	ENSMUSP00000001620
OG0001293	ENSTNIP00000009608
OG0001293	ENSLOCP00000000652
OG0001293	ENSDARP00000124192
OG0001293	ENSORLP00000014777
OG0001293	ENSGACP00000008025
OG0001293	ENSTNIP00000006390
OG0001293	ENSCMIP00000032834
OG0001293	ENSCAFP00845032957
OG0001293	ENSP00000250113
OG0001293	ENSMUSP00000159533
OG0001293	ENSMODP00000008904
OG0001293	ENSORLP00000014502
OG0001293	ENSGACP00000026406
OG0001293	ENSTNIP00000007786
OG0001293	ENSDARP00000004667
OG0001293	ENSDARP00000146728
OG0001293	ENSGALP00010022892
OG0001293	ENSMGAP00000020668
OG0001293	ENSACAP00000039600
OG0001293	ENSTGUP00000037101
OG0001293	ENSMODP00000050145
OG0001293	ENSCAFP00845028666
OG0001293	ENSMUSP00000110303
OG0001293	ENSP00000359506
OG0001293	ENSLOCP00000018950
OG0001293	ENSDARP00000104665
OG0001293	ENSORLP00000011409
OG0001293	ENSGACP00000024785
OG0001293	ENSTNIP00000004589
OG0001293	ENSTNIP00000013019
OG0001293	ENSCMIP00000029860
OG0003740	XP_035672704
OG0003740	ENSGALP00010026749
OG0003740	ENSMGAP00000010636
OG0003740	ENSTGUP00000010423
OG0003740	ENSACAP00000040890
OG0003740	ENSCAFP00845026223
OG0003740	ENSP00000238961
OG0003740	ENSMUSP00000093758
OG0003740	ENSMODP00000015050
OG0003740	ENSCMIP00000000232
OG0003740	ENSORLP00000039419
OG0003740	ENSTNIP00000011525
OG0003740	ENSGACP00000010212
OG0003740	ENSDARP00000118459
OG0003740	ENSLOCP00000015570
OG0003740	ENSCAFP00845031024
OG0003740	ENSP00000429896
OG0003740	ENSMUSP00000132846
OG0003740	ENSMODP00000040124
OG0003740	ENSACAP00000022011
OG0003740	ENSGALP00010029178
OG0003740	ENSMGAP00000018953
OG0003740	ENSLOCP00000019202
OG0003344	XP_035662583
OG0003344	ENSGALP00010042947
OG0003344	ENSMGAP00000000129
OG0003344	ENSTGUP00000017685
OG0003344	ENSCAFP00845026241
OG0003344	ENSP00000355167
OG0003344	ENSMUSP00000029754
OG0003344	ENSMODP00000023456
OG0003344	ENSACAP00000008501
OG0003344	ENSLOCP00000009562
OG0003344	ENSORLP00000043139
OG0003344	ENSTNIP00000008921
OG0003344	ENSGACP00000017850
OG0003344	ENSDARP00000058887
OG0003344	ENSGALP00010000248
OG0003344	ENSMGAP00000009886
OG0003344	ENSTGUP00000024369
OG0003344	ENSCAFP00845043182
OG0003344	ENSP00000336984
OG0003344	ENSMUSP00000105574
OG0003344	ENSMODP00000047485
OG0003344	ENSCMIP00000022936
OG0003344	ENSORLP00000013190
OG0003344	ENSGACP00000021345
OG0003344	ENSTNIP00000009748
OG0003344	ENSDARP00000053866
OG0003344	ENSLOCP00000007284
OG0001442	XP_035660121
OG0001442	ENSGALP00010005146
OG0001442	ENSMGAP00000029648
OG0001442	ENSTGUP00000034850
OG0001442	ENSACAP00000014714
OG0001442	ENSCAFP00845036372
OG0001442	ENSP00000262213
OG0001442	ENSCAFP00845040895
OG0001442	ENSP00000309402
OG0001442	ENSMUSP00000062635
OG0001442	ENSMODP00000046062
OG0001442	ENSMUSP00000027068
OG0001442	ENSMODP00000009077
OG0001442	ENSORLP00000010141
OG0001442	ENSTNIP00000011018
OG0001442	ENSGACP00000003691
OG0001442	ENSDARP00000022511
OG0001442	ENSDARP00000155896
OG0001442	ENSLOCP00000004856
OG0001442	ENSCMIP00000003183
OG0001442	ENSCMIP00000037411
OG0001442	ENSORLP00000015117
OG0001442	ENSTNIP00000015573
OG0001442	ENSGACP00000020069
OG0001442	ENSDARP00000026457
OG0001442	ENSLOCP00000004740
OG0001442	ENSACAP00000041352
OG0001442	ENSCAFP00845012833
OG0001442	ENSMUSP00000047992
OG0001442	ENSP00000182527
OG0001442	ENSMODP00000023469
OG0001442	ENSACAP00000004984
OG0001442	ENSTGUP00000013674
OG0001442	ENSMGAP00000028396
OG0001442	ENSORLP00000016255
OG0001442	ENSGACP00000012315
OG0001442	ENSTNIP00000015266
OG0001442	ENSDARP00000043937
OG0001442	ENSLOCP00000000971
OG0001727	XP_035669058
OG0001727	ENSGALP00010027165
OG0001727	ENSTGUP00000006219
OG0001727	ENSMGAP00000025649
OG0001727	ENSMODP00000007807
OG0001727	ENSLOCP00000020772
OG0001727	ENSDARP00000131304
OG0001727	ENSORLP00000003803
OG0001727	ENSCMIP00000044604
OG0001727	ENSCAFP00845039295
OG0001727	ENSMUSP00000105560
OG0001727	ENSP00000366058
OG0001727	ENSACAP00000001419
OG0001727	ENSGALP00010008862
OG0001727	ENSMGAP00000013350
OG0001727	ENSTGUP00000031327
OG0001727	ENSACAP00000016191
OG0001727	ENSMODP00000032577
OG0001727	ENSCAFP00845020083
OG0001727	ENSCAFP00845034676
OG0001727	ENSP00000331474
OG0001727	ENSMUSP00000093206
OG0001727	ENSLOCP00000013318
OG0001727	ENSCMIP00000025610
OG0001727	ENSDARP00000127179
OG0001727	ENSDARP00000144868
OG0001727	ENSGACP00000017080
OG0001727	ENSORLP00000020886
OG0001727	ENSGACP00000007775
OG0001727	ENSTNIP00000020570
OG0001727	ENSACAP00000003681
OG0001727	ENSP00000375859
OG0001727	ENSMUSP00000078407
OG0001727	ENSORLP00000001200
OG0001727	ENSGACP00000017165
OG0001727	ENSDARP00000114077
OG0001727	ENSLOCP00000017516
OG0003167	XP_035666040
OG0003167	ENSGALP00010011898
OG0003167	ENSTGUP00000003165
OG0003167	ENSACAP00000019026
OG0003167	ENSCAFP00845007383
OG0003167	ENSP00000349592
OG0003167	ENSMUSP00000022040
OG0003167	ENSMODP00000010196
OG0003167	ENSORLP00000006702
OG0003167	ENSGACP00000010138
OG0003167	ENSTNIP00000000060
OG0003167	ENSDARP00000131912
OG0003167	ENSLOCP00000002749
OG0003167	ENSCMIP00000008496
OG0003167	ENSGALP00010029051
OG0003167	ENSMGAP00000026737
OG0003167	ENSTGUP00000008651
OG0003167	ENSCAFP00845004723
OG0003167	ENSP00000490608
OG0003167	ENSMUSP00000119721
OG0003167	ENSMODP00000024458
OG0003167	ENSLOCP00000017868
OG0003167	ENSDARP00000135812
OG0003167	ENSGACP00000002636
OG0003167	ENSCMIP00000025676
OG0003490	XP_035668586
OG0003490	ENSGALP00010029415
OG0003490	ENSMGAP00000007706
OG0003490	ENSTGUP00000007986
OG0003490	ENSLOCP00000013950
OG0003490	ENSCMIP00000001539
OG0003490	ENSCAFP00845022851
OG0003490	ENSMUSP00000031822
OG0003490	ENSMUSP00000031239
OG0003490	ENSP00000237612
OG0003490	ENSMODP00000025920
OG0003490	ENSTGUP00000002279
OG0003490	ENSACAP00000012647
OG0003490	ENSCMIP00000038993
OG0003490	ENSORLP00000008769
OG0003490	ENSTNIP00000013982
OG0003490	ENSGACP00000022891
OG0003490	ENSDARP00000024285
OG0003490	ENSORLP00000003411
OG0003490	ENSGACP00000024574
OG0003490	ENSTNIP00000010621
OG0003490	ENSDARP00000140421
OG0003490	ENSLOCP00000016575
OG0000920	XP_035694858
OG0000920	ENSGALP00010037363
OG0000920	ENSCAFP00845027570
OG0000920	ENSMUSP00000072175
OG0000920	ENSP00000354111
OG0000920	ENSMODP00000043090
OG0000920	ENSACAP00000006696
OG0000920	ENSMGAP00000006821
OG0000920	ENSTGUP00000038648
OG0000920	ENSCMIP00000027875
OG0000920	ENSORLP00000044372
