# proteinId	labelId
ENSGALP00010026034	phylogeny
ENSGALP00010026034	macro-synteny
ENSTGUP00000003875	phylogeny
ENSTGUP00000003875	macro-synteny
ENSMODP00000020813	phylogeny
ENSMODP00000020813	macro-synteny
ENSCAFP00845039257	phylogeny
ENSCAFP00845039257	macro-synteny
ENSP00000482156	phylogeny
ENSP00000482156	macro-synteny
ENSP00000262305	phylogeny
ENSP00000262305	macro-synteny
ENSMUSP00000113521	phylogeny
ENSMUSP00000113521	macro-synteny
ENSACAP00000002607	phylogeny
ENSACAP00000002607	macro-synteny
ENSLOCP00000003849	phylogeny
ENSLOCP00000003849	macro-synteny
ENSORLP00000032913	phylogeny
ENSORLP00000032913	macro-synteny
ENSGACP00000011186	phylogeny
ENSGACP00000011186	macro-synteny
ENSTNIP00000015789	phylogeny
ENSTNIP00000015789	macro-synteny
ENSDARP00000149009	phylogeny
ENSDARP00000149009	macro-synteny
ENSDARP00000153769	phylogeny
ENSDARP00000153769	macro-synteny
ENSCMIP00000019084	phylogeny
ENSCMIP00000019084	macro-synteny
ENSGALP00010044211	phylogeny
ENSGALP00010044211	macro-synteny
ENSMGAP00000008366	phylogeny
ENSMGAP00000008366	macro-synteny
ENSTGUP00000026735	phylogeny
ENSTGUP00000026735	macro-synteny
ENSACAP00000031113	phylogeny
ENSACAP00000031113	macro-synteny
ENSCAFP00845019848	phylogeny
ENSCAFP00845019848	macro-synteny
ENSP00000482620	phylogeny
ENSP00000482620	macro-synteny
ENSMUSP00000017783	phylogeny
ENSMUSP00000017783	macro-synteny
ENSMODP00000023985	phylogeny
ENSMODP00000023985	macro-synteny
ENSORLP00000004431	phylogeny
ENSORLP00000004431	macro-synteny
ENSGACP00000025702	phylogeny
ENSGACP00000025702	macro-synteny
ENSTNIP00000005818	phylogeny
ENSTNIP00000005818	macro-synteny
ENSDARP00000132572	phylogeny
ENSDARP00000132572	macro-synteny
ENSDARP00000147868	phylogeny
ENSDARP00000147868	macro-synteny
ENSDARP00000144782	phylogeny
ENSDARP00000144782	macro-synteny
ENSLOCP00000017027	phylogeny
ENSLOCP00000017027	macro-synteny
ENSDARP00000108296	phylogeny
ENSDARP00000108296	macro-synteny
ENSORLP00000021353	phylogeny
ENSORLP00000021353	macro-synteny
ENSTNIP00000016995	phylogeny
ENSTNIP00000016995	macro-synteny
ENSGACP00000007047	phylogeny
ENSGACP00000007047	macro-synteny
ENSCMIP00000004232	phylogeny
ENSCMIP00000004232	macro-synteny
ENSGALP00010023058	phylogeny
ENSGALP00010023058	macro-synteny
ENSMGAP00000031635	phylogeny
ENSMGAP00000031635	macro-synteny
ENSTGUP00000037636	phylogeny
ENSTGUP00000037636	macro-synteny
ENSCAFP00845043431	phylogeny
